0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
1,336.1525086,947.9159059,941.1711922,761.7166923,0,0,937.3674306,936.8468014,851.5108815,887.4141382,878.8617235,791.0625082,826.3018428,0,961.5094691,940.1757627,886.687754,833.4822705,869.1387762,877.5986306,377.5176306,905.2468792,0,0,0,411.4097708,934.1236627,949.0186655,0,893.6043744,0,956.619653,858.0981474,0,927.2441346,905.8436002,0,738.7122835,956.0390278,442.7757472,957.3915477,757.5921385,0,856.2421181,919.4173749,889.0859267,0,0,962.8211914,910.7125846,909.5557651,0,885.4887017,874.4700706,968.4276935,879.0800171,0,914.7281622,954.3355977,938.7809489,0,306.1894767,811.4517715,0,920.0333085,945.8009328,902.1595825,0,0,954.6380799,960.9296234,967.692419,916.1763531,0,0,936.7959915
2,412.4025832,855.3644996,770.0553907,675.1559647,0,818.5313686,937.3674306,936.8468014,742.6475069,622.495604,760.8471838,697.0525114,787.7631566,335.4707394,961.5094691,869.1275731,727.6744389,789.3775071,869.1387762,877.5986306,561.9703005,873.5147807,366.0190116,544.9092025,807.5472078,750.9623945,775.4872547,868.9495665,301.7799493,843.8176676,515.7359664,857.0791734,0,0,854.7257606,905.8436002,322.2480631,738.7122835,865.2978876,456.8038309,845.474139,679.2440763,0,835.6788803,891.2766558,889.0859267,0,0,832.0303845,885.0152926,858.4261682,308.1729608,867.2810045,871.8659845,907.6996938,579.6872453,340.4250609,901.4862111,888.6778716,491.0333919,306.2948737,737.1009188,694.5329612,0,871.9758678,938.0600683,884.0602318,0,563.839705,842.1667103,867.768844,898.2589633,858.4030534,0,0,853.2270153
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345.1928666,0,856.2421181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,343.1620971,0,0,0,0,0,0,322.5207914,349.6730436,0,0,786.5155224,0,0,0,0,0,613.5347751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852.2604651,0,0,0,0,0,0,0,772.9056633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340.2501846,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,905.8897813,912.8973263,757.8820682,0,759.9988067,885.6543855,890.4025024,821.754079,864.6644849,832.0777203,639.5329635,786.5155224,0,878.1624441,872.5684335,845.7275306,729.0416395,850.3616131,732.4971428,0,823.7599179,0,0,0,0,0,898.3402013,0,879.9225138,0,862.1077182,313.137101,0,905.7836433,852.2604651,0,0,910.4323751,473.8124225,337.4649373,691.3013083,0,772.9056633,842.426797,824.6550805,0,0,923.6006747,854.4002629,889.3289318,0,805.0678656,786.7160104,958.311844,815.967287,0,921.4363865,906.3547609,884.8022884,492.1701253,364.8659622,776.606848,0,858.2747204,894.8925411,816.4007815,0,0,907.4471899,923.8630256,916.313031,651.2952385,0,0,825.0727089
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305.9453784,0
9,0,323.9359339,952.173073,401.5664763,0,781.5525932,888.8666488,874.8351739,829.8345104,847.8970045,840.1250575,335.4062816,831.0364078,823.2690185,882.6565734,882.1496769,0,934.2397428,448.3397033,0,0,0,0,0,0,0,0,0,0,0,0,0,835.8521645,0,423.5709359,0,0,743.591407,0,0,386.0363751,752.8134638,0,801.116168,863.3901783,838.8637611,0,0,0,326.424621,878.2511429,0,811.071647,818.386853,0,835.7456331,0,929.7499514,896.1139326,322.0312281,762.1028085,828.8135974,0,0,866.8097554,901.1270703,848.8361068,0,0,910.1917742,0,918.5408414,0,0,0,0
10,322.6160424,905.2717443,881.2345133,492.9180433,0,781.5525932,888.8666488,874.8351739,829.8345104,847.8970045,840.1250575,678.9073218,831.0364078,0,882.6565734,882.1496769,850.4548373,712.8169692,759.2755929,820.4762688,909.4722956,830.5439994,0,0,0,867.5105108,894.3785273,887.7286292,0,844.2657257,0,928.6574161,835.8521645,0,389.9533976,832.0480818,0,743.591407,923.711307,434.9498841,923.1052338,752.8134638,0,801.116168,863.3901783,838.8637611,0,0,925.4267552,887.8536246,878.2511429,0,811.071647,818.386853,926.4713589,835.7456331,0,929.7499514,896.1139326,0,0,828.8135974,419.4988345,0,866.8097554,901.1270703,848.8361068,0,0,910.1917742,918.1731386,918.5408414,0,0,0,848.8687321
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,311.7063307,435.6624013,880.5594999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377.9839843,0,0,0,0,0,0,0,0,0,0,0,346.4293322,0,649.7465819,0,0,0,767.6047698,0,784.7929931,848.4755777,842.0347194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887.3372868,0,0,0,0,0,0,0,0,0,0
13,0,301.1569258,0,0,0,392.2718716,889.3253468,880.5594999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784.7929931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887.3372868,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,887.8623937,0,744.8483949,0,370.1509251,473.1320404,587.4550155,813.5261925,830.7306502,813.3069951,471.9255909,782.3685054,0,863.98413,861.5378384,829.1155122,0,821.4992026,0,0,809.3958516,0,0,0,839.5552856,530.0682251,871.6290496,0,828.3514272,0,897.4143865,564.5691136,0,854.796346,817.3586671,0,698.9787007,880.3750172,407.798402,628.1676974,722.2838056,0,0,830.7110995,828.185226,0,0,896.8997474,809.5740429,835.5000827,0,807.6848242,795.3465871,906.0406148,829.6430474,0,0,0,331.1097719,0,800.032488,0,0,841.6162723,469.4914376,824.732117,0,0,316.3061003,894.5445161,894.6306048,836.2335995,0,0,867.482305
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,669.8406382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568.7338686,0,0,0,0,0,0,0,0,0,0,0,0,0,525.5981196,352.1509173,0,0,379.0369207,0,823.7406933,876.038225,875.4353704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.7032813,0,0,0,0,0,419.1728857,0,823.7406933,378.8869609,301.3369683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,824.9368463,0,0,0,0,0,0,728.766093,773.2460574,0,0,734.9179335,0,0,0,0,850.0712275,0,0,0,0,0,0,0,0,789.2819242,554.6350827,0,0,0,308.1674614,0,0,0,771.8835023,0,0,0,0,0,0,0,733.5259938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841.1399825,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,728.766093,773.2460574,0,0,734.9179335,0,0,0,0,370.8769883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771.8835023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,824.9368463,0,0,0,0,0,0,728.766093,773.2460574,0,0,734.9179335,0,0,0,0,850.0712275,0,0,0,0,0,0,0,0,789.2819242,369.8791133,0,0,0,0,0,0,0,771.8835023,0,0,0,0,0,0,0,733.5259938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841.1399825,0,0,0,0
