0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
1,200.3871329,279.1515144,204.3826967,137.3861588,184.6272987,95.42765898,94.1658814,177.3696626,182.6692334,181.9979748,75.97337295,196.4419388,225.1995046,179.4884333,233.1250561,166.2745594,76.75399347,157.1234908,168.8819329,134.8855476,132.1434551,201.5914951,176.3122445,222.1758492,134.6630453,150.8695208,156.0408603,299.8177157,347.7868936,256.8929221,193.9879602,125.2712128,199.1101959,180.9727635,157.9430295,164.2236958,179.486777,165.1306285,196.7949998,168.7723814,266.1875347,190.4497802,188.1043354,205.799452,260.2877095,167.3623741,190.771427,202.8669218,145.5992793,196.464408,194.8768509,186.3680251,178.8413193,90.62810068,187.0954896,162.2751964,206.7344945,856.2421181,249.9563164,178.1599915,195.982068,155.4512591,169.9855906,170.6020756,272.4952371,225.3609582,221.7148946,132.9200527,174.9342857,96.67683603,98.63172885,160.6932785,171.6678983,96.04897698,98.3526088,244.7850539
2,211.7830027,291.4542014,211.1735353,194.6722168,215.2370242,46.31819923,40.81118708,277.4244333,280.4319636,285.6858202,87.69907066,272.6658896,230.0550874,211.2440775,244.5120692,131.2916988,50.27167546,165.0935695,160.4019698,150.1882471,153.1550741,191.4827827,172.9497161,208.0406459,176.0032222,161.1564113,129.7061052,236.3294146,241.4463502,338.6242904,187.8749277,274.9421786,288.3929187,203.7934694,162.7812374,191.8432275,196.1667078,171.809379,204.1573311,176.9963166,181.3821568,171.0064137,204.6979996,205.590398,204.0238438,199.5841088,208.1331292,196.1265969,299.5680401,182.8890866,179.4436728,206.3245674,160.5425911,53.96748952,257.6852857,129.2659832,226.6867457,209.5592508,224.5979055,170.4521487,167.0127241,170.6468626,190.0152537,178.1514624,279.0274888,199.7775212,228.2557252,127.3638539,251.2653037,38.2894008,41.35363959,149.6361417,338.0671098,35.6830882,36.42101132,250.2854316
3,46.24801853,80.4549423,36.11126682,25.40198694,30.31968515,-18.23442624,-19.28480332,84.88255951,53.43839035,77.69913958,16.80771558,69.67563967,65.06075868,28.69418205,58.33706254,35.56650853,-7.043359188,11.0923167,43.02110657,15.75100101,8.505356639,-7.633380314,7.734727683,63.46902509,32.29290509,37.99187505,24.61834074,85.52586526,106.4368319,82.28353143,56.80332098,52.17982718,79.88667116,36.91999856,44.29442006,27.65004967,32.60964913,28.34462058,75.92792655,32.60042885,53.9926741,36.09111529,48.62458039,35.92909492,43.57693341,30.40078187,15.76360336,39.79012792,79.31355754,50.71682407,59.09332657,38.40178329,47.10548539,-10.71770482,100.6069795,29.14458886,-16.64930171,50.73545567,78.71524131,39.53642086,18.90727182,27.98811355,38.8049584,44.20350512,69.92114196,51.89734832,56.42894761,15.91766548,72.78436821,-6.076860695,-18.94601752,21.26611772,46.00357527,-6.774221716,-14.87416261,64.48941192
4,812.0499323,489.8870911,793.2648053,169.7952531,766.1574517,39.25254941,43.83007512,667.872378,548.0687548,686.4810171,155.9533961,620.7658746,571.9413525,218.2355904,658.9364544,819.6783927,49.88241605,96.92211052,156.6839246,162.0701706,190.3009082,120.0692826,156.8021797,397.8806626,151.0841753,145.300853,182.2995091,764.1297983,763.5719548,567.79533,806.5105776,608.5977275,665.6013643,222.4127513,759.1354445,794.1701362,208.2774562,173.385426,500.7539141,780.2035472,578.365607,779.6191184,501.9396953,269.8233672,210.3479144,230.358692,204.0140209,790.3865378,470.8368321,810.4420716,786.2797024,584.2196435,806.9973497,48.14433145,638.9677898,177.8409044,576.1594263,653.2743761,219.849237,219.2619841,448.8986733,168.5028621,528.5962741,649.985247,659.0699378,796.767452,640.9400563,119.8157907,645.532825,37.95192059,42.68051604,807.0882213,560.0676467,33.33270825,33.578798,633.5606291
5,103.5421821,108.5873712,69.24917078,31.6340482,50.03112265,-33.11589197,-19.29413275,140.2104618,155.7096182,686.4810171,30.46292593,117.2074715,136.7678751,51.44030435,126.0574336,819.6783927,-33.21145935,1.806889702,53.84080572,62.68386838,42.11753442,26.36156305,63.11700064,167.3032712,39.23190205,41.07944868,-41.33158034,142.0002549,276.6831868,182.3124119,88.37655667,148.0704576,178.6158985,63.47385242,30.35499203,19.24090292,91.09281596,28.4077697,93.73138744,83.9173128,133.3731841,68.88074033,118.1366015,90.44928764,66.07732818,24.10671807,83.08640334,62.33374734,85.18008182,87.52218929,41.00177852,49.97664974,42.37743585,-14.52022212,154.8211162,36.16741109,110.1437864,653.2743761,96.48315953,84.733699,52.13470173,21.97931828,63.00018131,45.48012028,71.25103268,101.0268229,117.2734991,41.79346197,102.5090878,-25.84629891,-16.80470112,58.97810315,60.90735628,-14.90516184,-24.89798548,602.1737836
6,789.3775071,694.5329612,842.1667103,456.8038309,865.2978876,563.839705,118.1454524,787.7631566,675.1559647,727.6744389,412.4025832,622.495604,738.7122835,288.9533387,891.2766558,855.3644996,101.538341,340.4250609,858.4261682,308.1729608,907.6996938,366.0190116,515.7359664,877.5986306,544.9092025,807.5472078,853.2270153,843.8176676,905.8436002,818.5313686,770.0553907,742.6475069,869.1387762,299.1324294,750.9623945,857.0791734,867.2810045,832.0303845,679.2440763,868.9495665,961.5094691,775.4872547,869.1275731,871.8659845,873.5147807,579.6872453,322.2480631,888.6778716,306.2948737,937.3674306,938.0600683,901.4862111,845.474139,122.362691,760.8471838,854.7257606,697.0525114,835.6788803,871.9758678,561.9703005,491.0333919,867.768844,898.2589633,858.4030534,884.0602318,936.8468014,889.0859267,301.7799493,249.3951573,120.3984065,99.64642219,885.0152926,737.1009188,111.1230857,125.8809509,335.4707394
7,119.229728,187.1906497,129.1974676,59.59047858,95.14234355,18.15674901,17.22850489,180.5153729,193.3233961,162.3449966,53.04301193,174.176676,31.30843265,139.5008978,141.6434326,104.544536,18.29586283,102.3860872,129.3266717,119.8495412,79.7575294,120.2774085,69.00462412,162.0508369,101.2342307,110.8499234,110.8833348,102.9651118,186.5282475,162.7876395,132.0290503,183.3161239,154.6678026,139.8581809,112.9268275,79.34662624,134.5113385,88.18205419,173.5911421,108.9038628,127.8270705,104.5605026,112.9697452,133.4017435,166.3554624,111.5641958,140.1420887,124.5168259,175.3027695,149.223353,118.128302,122.1193006,94.2892124,26.86915009,163.3565669,84.00032636,108.8946244,139.3536386,145.8633102,118.1966509,59.31538628,93.5841382,119.685604,127.4791817,120.3718425,133.9094892,163.6023586,95.47439197,122.2299925,20.3644228,19.3349208,92.73218372,144.1282528,19.94677853,12.88013793,179.5397865
8,141.2442174,188.1938088,150.4318569,114.6809434,135.4667459,17.93943216,24.2606955,199.3057655,188.7407487,183.0141612,52.85051542,166.3658163,35.36710697,150.8986432,181.2390732,80.56964765,31.28855167,92.93009103,122.9935545,115.1537152,99.75113708,109.8905766,112.3750553,155.487778,106.8634984,107.7006061,117.5397635,202.2830119,262.2055303,228.067444,106.7856408,167.5048619,156.3069951,178.445757,97.47084934,107.9904724,155.7024387,123.090961,172.7294913,115.539586,162.3677946,114.3903949,138.8290381,145.9882318,146.4264059,151.9804439,176.6627515,133.9255526,242.8325219,125.541468,146.2353215,121.450039,136.719847,33.53713769,167.8724976,126.5556299,52.20189401,155.2150049,178.0184938,112.5740761,139.4841012,107.4984829,127.3388689,117.438815,191.8525673,121.3521911,175.8441514,96.67605096,180.7023527,23.6420191,27.54966336,114.1807456,167.4612604,16.08850934,35.89355895,160.3098931
9,311.1774152,361.3009725,261.7477767,252.4439853,329.6064988,211.2281128,184.6242646,826.3018428,383.202605,326.0710363,246.6008703,861.2209647,297.5787275,875.2995016,322.7222746,406.7487656,160.0751915,252.6686039,300.6089541,272.7717844,233.9640969,244.1909554,266.7171231,317.6202884,258.2795836,271.229273,319.0190901,308.2511906,315.484662,845.5107727,981.4179003,851.5108815,869.1387762,871.8338642,214.022195,254.8752009,267.8089049,266.3858714,312.4141801,272.2451955,318.2521456,269.4388332,305.3858592,251.817022,275.4353023,250.4469873,872.9150521,954.3355977,754.792958,937.3674306,945.8009328,962.9939214,258.6404105,193.676459,313.9264043,251.8281003,299.233051,289.7614234,333.030859,231.7509017,938.7809489,277.2318205,287.7539856,916.1763531,295.4713752,936.8468014,314.5119368,220.750992,337.8320909,213.9733298,201.5728298,952.4147409,850.6416107,202.187675,173.4695647,351.8055335
10,219.587769,326.8172199,224.2738984,168.146849,241.3887701,105.3156714,104.1249556,210.1654718,223.0833515,193.911683,87.38578723,226.5861753,255.8100393,187.5854888,267.2355745,154.4320461,93.4996881,168.6779377,202.3391565,178.8746023,162.2211416,203.6216194,198.2764735,228.6153936,167.1030676,189.3298187,183.2216852,339.1955728,404.4086124,301.1560647,183.8353916,195.557391,190.5501423,178.8220784,178.9504469,198.3123562,281.7302448,217.9213881,217.0768345,206.7768214,248.3392362,197.6956408,204.5571417,259.869967,271.9224638,233.8578235,220.9020827,215.5940012,199.4143884,189.6797595,216.8052347,197.5103317,198.7810861,102.0219587,202.4247829,181.9013635,205.5225345,238.7619483,255.7496761,190.4071801,201.0840956,213.7437866,227.1970943,210.9711899,276.4803929,220.0912681,237.4905021,151.5587834,198.0179332,105.2279922,104.8544256,164.4235825,186.9064083,99.95920883,108.5743922,232.9929427
