ID,Value
1,0.0056
2,0.0050
3,0.0055
4,0.0060
5,0.0052
6,0.0088
7,0.0092
8,0.0045
9,0.0047
10,0.0050
11,0.0079
12,0.0057
13,0.0040
14,0.0043
15,0.0047
16,0.0047
17,0.0088
18,0.0044
19,0.0045
20,0.0040
21,0.0060
22,0.0034
23,0.0035
24,0.0044
25,0.0042
26,0.0049
27,0.0045
28,0.0034
29,0.0034
30,0.0078
31,0.0065
32,0.0050
33,0.0055
34,0.0043
35,0.0047
36,0.0048
37,0.0050
38,0.0052
39,0.0051
40,0.0045
41,0.0048
42,0.0045
43,0.0048
44,0.0048
45,0.0043
46,0.0052
47,0.0043
48,0.0048
49,0.0054
50,0.0043
51,0.0046
52,0.0052
53,0.0055
54,0.0089
55,0.0054
56,0.0039
57,0.0031
58,0.0046
59,0.0049
60,0.0045
61,0.0043
62,0.0048
63,0.0049
64,0.0047
65,0.0043
66,0.0044
67,0.0046
68,0.0042
69,0.0050
70,0.0092
71,0.0091
72,0.0042
73,0.0056
74,0.0091
75,0.0083
76,0.0042
